11626778,3992428
11626856,3992419
11626929,3992423
11627397,3992421
11627468,3992420
11627542,3992420
11627615,3992420
11627685,3992420
11627753,3992422
11627829,3992427
11627897,3992429
11627963,3992430
11628027,3992430
11628090,3992430
11628154,3992434
11628213,3992434
11628274,3992433
11628333,3992433
11628395,3992434
11628459,3992432
11628518,3992430
11628583,3992426
11628646,3992426
11628708,3992426
11628774,3992422
11628844,3992416
11628910,3992415
11628980,3992417
11629066,3992414
11629134,3992413
11629203,3992412
11629262,3992412
11629322,3992413
11629393,3992408
11629462,3992406
11629523,3992404
11629588,3992398
11629653,3992398
11629720,3992398
11629779,3992394
11629868,3992395
11629928,3992397
11629994,3992397
11630059,3992396
11630128,3992396
11630197,3992399
11630258,3992396
11630331,3992396
11630405,3992395
11630470,3992393
